Key,"English Value","Kurdish Translation (کوردی)"
30D,30D,
7D,7D,
90D,90D,
Account,Account,
Accounting,Accounting,
Accounting_Dashboard_Subtitle,"Overview & quick actions",
Accounting_Dashboard_Title,"Advanced Accounting",
Accounts,Accounts,
Accounts_cannot_be_the_same,"Accounts cannot be the same",
Account_Created,"Account created",
account_name,"Account name",
account_num,"Account num",
Account_Updated,"Account updated",
Actif,Active,
Action,Action,
Actions,Actions,
Action_Blocked,"Action Blocked",
ActivateUser,"This User Has been Activated",
Active,Active,
Add,Create,
"Add Language","Add Language",
"Add New","Add New",
"Add New Translation","Add New Translation",
AddAnotherPaymentOption,"Add Another Payment Option",
AddCustomer,"Create Customer",
Added,Added,
Addition,Addition,
AddPayment,"Create Payment",
AddPermissions,"Create Permissions",
AddProduct,"Create product",
AddProducts,"Add Products to the Order List",
AddProductToList,"Please Add Product To List !!",
AddPurchase,"Create Purchase",
AddQuantity,"Please Add quantity of product !!",
AddQuote,"Create Quotation",
AddReturn,"Create Return",
AddSale,"Create Sale",
Add_Asset,"Add Asset",
Add_Employee,"Add Employee",
Add_Line,"Add line",
Add_Link,"Add link",
Add_Payment_Method,"Add Payment Method",
Add_Payment_Note,"Add Payment Note",
Add_product_IMEI_Serial_number,"Add product IMEI/Serial Number",
Add_Sale_Note,"Add Sale Note",
Add_this_exact_URL_on_Keys_page_too,"Add this exact URL on the Keys page too.",
Adjustment,Adjustment,
AdjustmentDetail,"Adjustment Detail",
Adjustments,Adjustments,
AdjustmentTypes,"Adjustment types",
Adjust_Customer_Points,"Adjust Customer Points",
Adress,Address,
Afewwords,"A few words ...",
AgeDays,"Age (days)",
AlertQuantity,"Alert Quantity",
All,All,
"All changes saved successfully","All changes saved successfully",
AllAccounts,"All Accounts",
Allocated_Header,"Allocated header",
Allocate_Header_Discount,"Allocate header discount",
AllPaymentMethods,"All Payment Methods",
AllWarehouses,"All Warehouses",
All_Brand,"All Brand",
All_Category,"All Category",
All_clients_are_synced,"All clients are synced",
All_Modules_Installed,"All Modules Installed",
All_Status,"All statuses",
All_time,"All time",
All_Warehouses,"All Warehouses",
AlreadyAdd,"This Product Already Added !!",
Already_have_an_account,"Already have an account ?",
Amount,Amount,
AmountHT,"Amount HT",
AmountPaying,"Amount Paying",
AmountTTC,"Amount TTC",
and_save_it_to_your_pc,"and save it to your pc",
Annual_Leave,"Annual Leave",
Appearance_Settings,"Appearance Settings",
Apply,Apply,
app_name,"App Name",
AreYouSure,"Are you sure?",
Are_you_sure_you_want_to_duplicate_this_product,"Are you sure you want to duplicate this product",
"Aspect ratio differs from recommendation","Aspect ratio differs from recommendation",
Asset,Asset,
Assets,Assets,
Assets_List,"Assets List",
Asset_Categories,"Asset Categories",
Asset_Category,"Asset Category",
Asset_Management,"Asset Management",
ASSET_VALUE,"ASSET VALUE",
Assigned_Employees,"Assigned Employees",
Assigned_warehouses,"Access warehouses",
As_Of,"As of",
Attachment,Attachment,
AttachmentQuote,"Please find the attachment for your Quotation",
Attendance,Attendance,
Attendances,Attendances,
attendance_summary,"Attendance summary",
At_Least_One_Line,"At least one line is required",
Audit,Audit,
Automatic_cart_sync,"Automatic cart synchronization",
Available,Available,
Available_Points,"Available Points",
Available_Tags,"Available Tags",
AvgItemsPerTransfer,"Avg. items per transfer",
AvgPerPurchase,"Avg per purchase",
AvgValuePerTransfer,"Avg. value per transfer",
Back,Back,
Backup,Backup,
BackupDatabase,"Backup Database",
balance,Balance,
Balanced,Balanced,
Balance_Check,Check:,
Balance_Sheet_Link,"Balance Sheet",
Balance_Sheet_Subtitle,"Assets = Liabilities + Equity",
Balance_Sheet_Title,"Balance Sheet",
bank_account,"bank account",
Bank_Branch,"Bank Branch",
Bank_Name,"Bank Name",
Bank_Number,"Bank Number",
Banners,Banners,
Barcode,Barcode,
BarcodeSymbology,"Barcode Symbology",
Barcode_must_be_unique,"Barcode must be unique",
BaseUnit,"Base Unit",
BasicInformation,"Basic Information",
Basic_Information,"Basic Information",
Basic_salary,"Basic salary",
Billing_Cycle,"Billing Cycle",
Birth_date,"Birth date",
Brand,Brand,
BrandDescription,"Brand Description",
BrandImage,"Brand Image",
Branding,Branding,
BrandManager,Brand,
BrandName,"Brand Name",
Bucket,Bucket,
Buckets,Buckets,
"Bulk save failed","Bulk save failed",
Bulk_sync_unsynced_clients,"Bulk sync unsynced clients",
BuyingPrice,"Buying price",
"By Product","By Product",
"By Variant","By Variant",
ByAmount,"By Amount",
ByQuantity,"By quantity",
ByValue,"By value",
By_Day,"By Day",
By_Product,"By Product",
By_Tax_Rate,"By Tax Rate",
By_User,"By User",
By_Variant,"By Variant",
Cache_cleared_successfully,"Cache cleared successfully",
Callback,Callback,
Cancel,Cancel,
Canceled,Canceled,
Cancelled,cancelled,
Cancel_order_hint,"This will mark the order as cancelled.",
Cancel_this_order_Q,"Cancel this order?",
CannotSubstraction,"You cannot subtraction products which have stock 0",
cannot_be_negative,"cannot be negative",
Card,Card,
Card_Info_Secure_Stripe,"Your card information is securely processed by Stripe",
"Cash In","Cash In",
"Cash Out","Cash Out",
Cashier,Cashier,
Cash_Flow_Report,"Cash Flow Report",
Cash_Register_Report,"Cash Register Report",
Categorie,Category,
Categories,Category,
Category,Category,
Category_is_required,"Category is required",
Change,Change,
ChangeAvatar,"Change Avatar",
ChangeFavicon,"Change Favicon",
ChangeLogo,"Change Logo",
ChangeReturn,"Change Return",
Change_product_details,"Change product details",
Chart_of_Accounts_Link,"Chart of Accounts",
Chart_of_Accounts_Subtitle,"Manage your GL structure with parent/child relationships.",
Chart_of_Accounts_Title,"Chart of Accounts",
ChooseProduct,"Choose Product",
ChooseWarehouse,"Choose Warehouse",
Choose_Account,"Choose Account",
Choose_Base_Unit,"Choose Base Unit",
Choose_Brand,"Choose Brand",
Choose_Category,"Choose Category",
Choose_Company,"Choose Company",
Choose_Currency,"Choose Currency",
Choose_Customer,"Choose Customer",
Choose_Department_Head,"Choose Department Head",
Choose_Designation,"Choose Designation",
Choose_Employee,"Choose Employee",
Choose_Family_status,"Choose Family status",
Choose_Gateway,"Choose SMS Gateway",
Choose_Gender,"Choose Gender",
Choose_Interval,"Choose interval",
Choose_leave_type,"Choose leave type",
Choose_Method,"Choose Method",
Choose_Office_Shift,"Choose Office Shift",
Choose_Operator,"Choose Operator",
Choose_Project,"Choose Project",
Choose_Purchase_Ref,"Choose Purchase Ref",
Choose_Sale_Ref,"Choose Sale Ref",
Choose_SMS_Gateway,"Choose SMS Gateway",
Choose_Status,"Choose status",
Choose_Sub_Category,"Choose SubCategory",
Choose_Supplier,"Choose Supplier",
Choose_Symbology,"Choose symbology",
Choose_Team,"Choose Team",
Choose_Unit_Product,"Choose Product Unit",
Choose_Unit_Purchase,"Choose Purchase Unit",
Choose_Unit_Sale,"Choose Sale Unit",
Choose_Warehouse,"Choose Warehouse",
City,City,
clear,Clear,
Clear_all,"Clear all",
Clear_Cache,"Clear Cache",
Clear_Logs,"Clear Logs",
Clear_Selection,"Clear Selection",
Click_Generate_New_Token_to_create,"Click Generate New Token to create your customer display URL and QR code",
Click_input_to_select_then_use_copy_button,"Click the input to select, then use the Copy button",
Client,Client,
Clients,clients,
Clients_Sync,"Clients Sync",
Client_ID,"Client ID",
Client_Secret,"Client Secret",
Client_sync_attempted,"Client sync attempted",
Client_sync_failed,"Client sync failed",
Close,Close,
"Close Register","Close Register",
Closed,Closed,
Closing,Closing,
Closing_Notes,"Closing Notes",
Code,Code,
Codecategorie,"Category Code",
CodeProduct,"Code Product",
code_must_be_not_exist_already,"code must be not exist already",
Collection,Collection,
Collections,Collections,
Collection_Details,"Collection Details",
Collection_saved_but_products_not_synced,"Collection saved, but products could not be synced.",
ComboProduct,"Combo Product",
ComboProducts,"Combo Products",
Comma_separated_cutoffs_default,"Comma-separated cutoffs, default",
Company,Company,
CompanyAdress,"Company Address",
CompanyName,"Company Name",
CompanyNameArabic,"Company Name (Arabic)",
CompanyPhone,"Company Phone",
Company_Info,"Company Info",
Company_Name,"Company Name",
complete,Completed,
Completed,Completed,
Complete_Lines_Message,"Please complete required fields on lines",
Complete_Payment,"Complete Payment",
Confirm,Confirm,
confirmed,confirmed,
Confirm_Clear_All,"Are you sure you want to clear all selected products?",
Confirm_Delete_This_Item,"Are you sure you want to delete this item?",
Confirm_password,"Confirm password",
Confirm_this_order_Q,"Confirm this order?",
Confirm_to_sale_hint,"This will convert the online order into a Sale and deduct stock.",
Connect,Connect,
Connected,Connected,
Connection,Connection,
Connection_failed,"Connection failed",
Connection_Status,"Connection status",
Connection_successful,"Connection successful",
Connect_to_QuickBooks,"Connect to QuickBooks",
Connect_to_QuickBooks_first,"Connect to QuickBooks first",
Consumer_Key,"Consumer Key",
Consumer_Secret,"Consumer Secret",
Contact,Contact,
Contact_Address,"Contact address",
Contact_Email,"Contact email",
Contact_Phone,"Contact phone",
Context,Context,
Convert,Convert,
Converted,Converted,
Copied_to_clipboard,"Copied to clipboard",
Copy,Copy,
Copy_to_clipboard,"Copy to clipboard",
Cost,Cost,
couldNotFind,"We could not find the page you were looking for.Meanwhile, you may",
Could_not_save_order,"Could not save the order.",
Count,Count,
Counted_Cash,"Counted Cash",
Country,Country,
CountStock,"Count Stock",
Create,Create,
CreateAdjustment,"Create Adjustment",
Created_by,"Added by",
Created_in_successfully,"Created in successfully",
CreatePurchaseReturn,"Create Purchase Return",
CreateReturnCustomer,"Create Return Customer",
CreateReturnSupplier,"Create Return Supplier",
CreateSale,"Create Sale",
CreateSaleReturn,"Create Sale Return",
CreateTransfer,"Create Transfer",
Create_an_account,"Create an account",
Create_a_new_product_with_all_details,"Create a new product with all details",
Create_Damage,"Create Damage",
Create_deposit,"Create deposit",
Create_Expense,"Create Expense",
Create_from_WordPress_Profile,"Create from WordPress Profile",
Create_Permission,"Create Permission",
Create_Project,"Create Project",
Create_Quotation_with_Stock,"Create Quotation with Stock",
Create_secure_token_info,"Create a secure token for your customer display. Tokens expire in 24 hours for security.",
Create_Susbscription,"Create Susbscription",
Create_Task,"Create Task",
Create_Transfer,"Create Transfer",
Credit,Credit,
Credit_Card,"Credit Card",
credit_card_account_not_available,"Credit card account not available",
Credit_card_changed_successfully,"Credit card changed successfully",
Credit_Card_Info,"Credit card info",
Currencies,Currency,
Currency,Currency,
CurrencyCode,"Currency Code",
CurrencyName,"Currency Name",
CurrentStock,Stock,
Current_stock,"Current Stock",
Current_Version,"Current Version",
Customer,Customer,
CustomerCode,"Customer Code",
CustomerDetails,"Customer Details",
CustomerManagement,"Customer Management",
CustomerName,"Customer Name",
CustomerPaiementsReport,"Customer Payments Report",
CustomerQuotationsReport,"Customer Quotations Report",
Customers,Customers,
CustomerSalesReport,"Customer Sales Report",
CustomersList,Customers,
CustomersReport,"Customers Report",
Customers_without_ecommerce_notice,"customers not having an account in the online store.",
Customer_Credit_Note,"Customer Credit Note",
Customer_details,"Customer Details",
Customer_Display_Configuration,"Customer Display Configuration",
Customer_Display_Configuration_Subtitle,"Set up and manage your customer-facing display for the POS system",
Customer_Info,"Customer Info",
Customer_Invoice,"Customer Invoice",
Customer_Ledger,"Customer Ledger",
