Key,English Value,Kurdish Translation
30D,30D,30d
7D,7D,7d
90D,90D,90d
Account,Account,ئەژمێر
Accounting,Accounting,ژمێریاری
Accounting_Dashboard_Subtitle,Overview & quick actions,تێڕوانینێکی گشتی و کردارە خێراکان
Accounting_Dashboard_Title,Advanced Accounting,ژمێریاری پێشکەوتوو
Accounts,Accounts,ئەکاونتەکان
Accounts_cannot_be_the_same,Accounts cannot be the same,ئەکاونتەکان ناتوانن هەمان شت بن
Account_Created,Account created,ئەکاونت دروستکراوە
account_name,Account name,ناوی ئەکاونت
account_num,Account num,ئەکاونت num
Account_Updated,Account updated,ئەکاونت نوێکراوەتەوە
Actif,Active,چالاک
Action,Action,کردار
Actions,Actions,کرداری
Action_Blocked,Action Blocked,کرداری بلۆک کرا
ActivateUser,This User Has been Activated,ئەم بەکارهێنەرە چالاک کراوە
Active,Active,چالاک
Add,Create,دروستکردن
Add Language,Add Language,زیادکردنی زمان
Add New,Add New,زیادکردنی نوێ
Add New Translation,Add New Translation,وەرگێڕانی نوێ زیاد بکە
AddAnotherPaymentOption,Add Another Payment Option,زیادکردنی بژاردەیەکی تری پارەدان
AddCustomer,Create Customer,دروستکردنی کڕیار
Added,Added,زیادکراوە
Addition,Addition,زیادکردن
AddPayment,Create Payment,دروستکردنی پارەدان
AddPermissions,Create Permissions,دروستکردنی مۆڵەت
AddProduct,Create product,بەرهەم دروست بکە
AddProducts,Add Products to the Order List,زیادکردنی بەرهەم بۆ لیستی داواکاری
AddProductToList,Please Add Product To List !!,تکایە بەرهەم زیاد بکە بۆ لیست !!
AddPurchase,Create Purchase,دروستکردنی کڕین
AddQuantity,Please Add quantity of product !!,تکایە بڕی بەرهەمەکە زیاد بکە !!
AddQuote,Create Quotation,دروستکردنی کۆتەیشن
AddReturn,Create Return,دروستکردنی گەڕانەوە
AddSale,Create Sale,دروستکردنی فرۆشتن
Add_Asset,Add Asset,زیادکردنی سەرمایە
Add_Employee,Add Employee,زیادکردنی کارمەند
Add_Line,Add line,هێڵ زیاد بکە
Add_Link,Add link,زیادکردنی بەستەر
Add_Payment_Method,Add Payment Method,زیادکردنی شێوازی پارەدان
Add_Payment_Note,Add Payment Note,تێبینی زیادکردنی پارەدان
Add_product_IMEI_Serial_number,Add product IMEI/Serial Number,
Add_Sale_Note,Add Sale Note,تێبینی فرۆشتن زیاد بکە
Add_this_exact_URL_on_Keys_page_too,Add this exact URL on the Keys page too.,ئەم URL ەی ورد زیاد بکە لە لاپەڕەی Keys یشدا.
Adjustment,Adjustment,ڕێکخستن
AdjustmentDetail,Adjustment Detail,وردەکاری ڕێکخستن
Adjustments,Adjustments,ڕێکخستنەکان
AdjustmentTypes,Adjustment types,جۆرەکانی ڕێکخستن
Adjust_Customer_Points,Adjust Customer Points,خاڵەکانی کڕیار ڕێکبخە
Adress,Address,ناونیشان
Afewwords,A few words ...,چەند وشەیەک ...
AgeDays,Age (days),تەمەن (ڕۆژەکان)
AlertQuantity,Alert Quantity,ژمارەی ئاگادارکردنەوە
All,All,گشت
All changes saved successfully,All changes saved successfully,هەموو گۆڕانکارییەکان بە سەرکەوتوویی هەڵگیراون
AllAccounts,All Accounts,هەموو ئەکاونتەکان
Allocated_Header,Allocated header,سەردێڕی تەرخانکراو
Allocate_Header_Discount,Allocate header discount,داشکاندنی سەردێڕی تەرخان بکە
AllPaymentMethods,All Payment Methods,هەموو شێوازەکانی پارەدان
AllWarehouses,All Warehouses,هەموو کۆگاکان
All_Brand,All Brand,هەموو براندەکان
All_Category,All Category,هەموو پۆلەکان
All_clients_are_synced,All clients are synced,هەموو مشتەرییەکان هاوکات دەکرێن
All_Modules_Installed,All Modules Installed,هەموو ئەو مۆدیولانەی کە دانراون
All_Status,All statuses,هەموو دۆخەکان
All_time,All time,هەموو کاتەکان
All_Warehouses,All Warehouses,هەموو کۆگاکان
AlreadyAdd,This Product Already Added !!,ئەم بەرهەمە پێشتر زیاد کراوە !!
Already_have_an_account,Already have an account ?,پێشتر ئەکاونتت هەیە ؟
Amount,Amount,بڕ
AmountHT,Amount HT,بڕی HT
AmountPaying,Amount Paying,بڕی پارەدان
AmountTTC,Amount TTC,بڕی TTC
and_save_it_to_your_pc,and save it to your pc,وە لە کۆمپیوتەرەکەت پاشەکەوتی بکە
Annual_Leave,Annual Leave,مۆڵەتی ساڵانە
Appearance_Settings,Appearance Settings,ڕێکخستنەکانی دەرکەوتن
Apply,Apply,جێبەجێکردن
app_name,App Name,ناوی ئەپەکە
AreYouSure,Are you sure?,ئایا دڵنیای؟
Are_you_sure_you_want_to_duplicate_this_product,Are you sure you want to duplicate this product,ئایا دڵنیای کە دەتەوێت ئەم بەرهەمە دووبارە بکەیتەوە
Aspect ratio differs from recommendation,Aspect ratio differs from recommendation,ڕێژەی ڕووبەر لە پێشنیار جیاوازە
Asset,Asset,کەرەستە
Assets,Assets,کەرەستەکان
Assets_List,Assets List,لیستی سەروەت و سامانەکان
Asset_Categories,Asset Categories,پۆلەکانی سەرمایە
Asset_Category,Asset Category,پۆلی سەرمایە
Asset_Management,Asset Management,بەڕێوەبردنی سەروەت و سامان
ASSET_VALUE,ASSET VALUE,بەهای سەروەت و سامان
Assigned_Employees,Assigned Employees,ئەو کارمەندانەی کە بۆیان دیاری کراوە
Assigned_warehouses,Access warehouses,دەستگەیشتن بە کۆگاکان
As_Of,As of,وەک لە
Attachment,Attachment,هاوپێچ
AttachmentQuote,Please find the attachment for your Quotation,تکایە هاوپێچەکە بۆ کۆتیشنەکەت بدۆزەرەوە
Attendance,Attendance,ئامادەبوون
Attendances,Attendances,ئامادەبوون
attendance_summary,Attendance summary,پوختەی ئامادەبوون
At_Least_One_Line,At least one line is required,بەلایەنی کەمەوە یەک دێڕ پێویستە
Audit,Audit,وردبینی
Automatic_cart_sync,Automatic cart synchronization,هاوکاتکردنی عەرەبانە بە شێوەیەکی ئۆتۆماتیکی
Available,Available,بەردەست
Available_Points,Available Points,خاڵە بەردەستەکان
Available_Tags,Available Tags,تاگەکانی بەردەستە
AvgItemsPerTransfer,Avg. items per transfer,Avg. بابەتی هەر گواستنەوەیەک
AvgPerPurchase,Avg per purchase,AVG بۆ هەر کڕینێک
AvgValuePerTransfer,Avg. value per transfer,Avg. بەها بۆ هەر گواستنەوەیەک
Back,Back,گەڕانەوە
Backup,Backup,پاشەکەوت
BackupDatabase,Backup Database,بنکەدراوەی پاشەکەوت
balance,Balance,هاوسەنگی
Balanced,Balanced,هاوسەنگ
Balance_Check,Check:,پشکنین:
Balance_Sheet_Link,Balance Sheet,هاوسەنگی لاپەڕە
Balance_Sheet_Subtitle,Assets = Liabilities + Equity,سەروەت و سامان = ئیلتزامات + یەکسانی
Balance_Sheet_Title,Balance Sheet,هاوسەنگی لاپەڕە
bank_account,bank account,ئەژمێری بانکی
Bank_Branch,Bank Branch,لقی بانک
Bank_Name,Bank Name,ناوی بانکی
Bank_Number,Bank Number,ژمارەی بانکی
Banners,Banners,بانەرەکان
Barcode,Barcode,بارکۆد
BarcodeSymbology,Barcode Symbology,بارکۆد هێماگەرایی
Barcode_must_be_unique,Barcode must be unique,بارکۆد دەبێت تایبەت بێت
BaseUnit,Base Unit,یەکەی بنەڕەتی
BasicInformation,Basic Information,زانیاری بنەڕەتی
Basic_Information,Basic Information,زانیاری بنەڕەتی
Basic_salary,Basic salary,مووچەی بنەڕەتی
Billing_Cycle,Billing Cycle,خولی فەسڵکردن
Birth_date,Birth date,بەرواری لەدایکبوون
Brand,Brand,براند
BrandDescription,Brand Description,پێناسەی مارکە
BrandImage,Brand Image,وێنەی براند
Branding,Branding,براندینگ
BrandManager,Brand,براند
BrandName,Brand Name,ناوی مارکە
Bucket,Bucket,سەتڵ
Buckets,Buckets,سەتڵ
Bulk save failed,Bulk save failed,بەکۆمەڵ پاشەکەوت بکە شکستخواردوو
Bulk_sync_unsynced_clients,Bulk sync unsynced clients,بەکۆمەڵ هاوکات unsynced clients
BuyingPrice,Buying price,نرخى کڕین
By Product,By Product,لەلایەن بەرهەمەوە
By Variant,By Variant,بە جۆرێک
ByAmount,By Amount,بە بڕی
ByQuantity,By quantity,بە بڕی
ByValue,By value,بە بەها
By_Day,By Day,بە ڕۆژ
By_Product,By Product,لەلایەن بەرهەمەوە
By_Tax_Rate,By Tax Rate,بەپێی ڕێژەی باج
By_User,By User,لەلایەن بەکارهێنەرەوە
By_Variant,By Variant,بە جۆرێک
Cache_cleared_successfully,Cache cleared successfully,کاش بە سەرکەوتوویی پاککرایەوە
Callback,Callback,callback
Cancel,Cancel,ڕەتکردنەوە
Canceled,Canceled,هەڵوەشاوە
Cancelled,cancelled,هەڵوەشاوە
Cancel_order_hint,This will mark the order as cancelled.,بەم شێوەیە داواکارییەکە وەک هەڵوەشاندنەوە دیاری دەکات.
Cancel_this_order_Q,Cancel this order?,ئەم داواکارییە هەڵبوەشێنەرەوە؟
CannotSubstraction,You cannot subtraction products which have stock 0,تۆ ناتوانیت ئەو بەرهەمانە کەم بکەیتەوە کە کۆگایان هەیە 0
cannot_be_negative,cannot be negative,ناتوانێت نێگەتیڤ بێت
Card,Card,کارت
